,,,,
,,,,
,,,,
,,,,
,,,,
Prerrequisito,Clave,M a t e r i a,,
,,,,
,EGN-17121,Ideas e Inst. Políticas y Sociales I,,
,EGN-17141,Probl. de la Civ. Contemporánea I,,
,ECO-11101,Economía I,,
,COM-16301,Herramientas Comput. y Algoritmos,,
,MAT-14001,Introd. a la Matemática Superior,,
,,,,
EGN-17121,EGN-17122, Ideas e Instit. Políticas y Sociales II,,
EGN-17141,EGN-17142 ,Probl. de la Civ. Contemporánea II,,
ECO-11101,ECO-12102, Economía II,,
,CON-10100 ,Contabilidad I,,
MAT-14001,MAT-12100 ,Cálculo I,,
,,,,
"EGN-17122 ,EGN-17141",EGN-17123,Ideas e Instit. Polít. y Sociales III,,
MAT-12100,MAT-12310,Álgebra Matricial,,
"ECO-12102 , MAT-12100",ECO-21103,Economía III,,
MAT-12100,MAT-12101,Cálculo II,,
"ECO-12102 ,MAT-12100",DER-10113,Derecho Público,,
,,,,
EGN-17123,EGN-17161,Historia Socio-política de México,,
"ECO-21103 , MAT-12101",ECO-21104,Economía IV,,
ECO-21103 y MAT-12101,ECO-22105,Economía V,,
MAT-12101,EST-11101,Probabilidad (1),,
MAT-12101,MAT-12102,Cálculo III,,
"ECO-12102 , EGN-17123",ECO-10301,Historia del Análisis Económico,,
,,,,
DER-10113,DER-13302,Bienes y Derechos Reales,,
"EGN-17161 , EGN-17142",EGN-17162,Probl. de la Real. Mex. Contemp.,,
"EST-11101 ,MAT-12102",EST-11102,Inferencia Estadística,,
MAT-12102,MAT-24630,Matemáticas Aplicadas a la Economía,,
"ECO-21104, ECO-22105",ECO-17103,Seminario de la Econ. de México,,
DER-10113,DER-15505,Derecho Constitucional II,,
,,,,
,,,,
"ECO-21104 , ECO-22105",ECO-13101 ,Economía Internacional I,,
"EST-11102 , MAT-12310",EST-11104, Econometría,,
"MAT-24630, ECO-21104,ECO-22105",ECO-11121 ,Microeconomía Avanzada I,,
,,,,
DER-13302,DER-13403 ,Obligaciones,,
DER-15505,DER-15506 ,Derecho Constitucional III,,
,,,,
"ECO-21104 ,ECO-22105",ECO-14301, Organización Industrial,,
"ECO-22105, MAT-24630, ECO-21104",ECO-18300 ,Crecimiento Económico,,
,,,,
DER-13302,DER-13504, Contratos,,
ECO-11121,ECO-11122, Microeconomía Avanzada II,,
ECO-22105,ECO-12201 ,Teoría y Política Monetaria,,
,,,,
"ECO-22105 , EGN-17162",ECO-17100,Historia Económica de México,,
"ECO-21104 ,ECO-22105",ECO-15101,Finanzas Públicas,,
ECO-14301,ECO-14303,Economía de la Regulación,,
"EST-11104, ECO-21104,ECO-22105",ECO-10516,Microeconometría Aplicada,,
,,,,
"ECO-13101, ECO-12201",ECO-13102 ,Economía Internacional II,,
,,,,
"ECO-21104, ECO-15101",ECO-18101,Desarrollo Económico,,
"ECO-22105 , ECO-21104",ECO-10204,Seminario de Investig. Econ.,,
"ECO-21104 ,ECO-22105",ECO-15111,Economía Política,,
DER-15506,DER-15704,Procedimientos Constitucionales,,
"ECO-11121, ECO-13102,ECO-18300",ECO-12121,Macroeconomía Avanzada,,
,,,,
,,,,
