id_Mat,name
ACT-11300,CALCULO ACTUARIAL I
ACT-11301,CALCULO ACTUARIAL II
ACT-11302,CALCULO ACTUARIAL III
ACT-11303,MODELOS ACTUARIALES
ACT-13307,ESTAD. APLICADA A LA ACTUARIA
ACT-14308,SEMINARIO DE INVESTIGACION ACT
ACT-15352,PLANES DE BENEFICIOS
ACT-15353,PRACTICA ACTUAR. Y MARCO INST.
ACT-15354,MATEMATICA DEMOGRAFICA
ACT-15357,PRINCIPIOS DEL SEGURO
ACT-15358,SISTEMAS DE SEGUROS
ACT-22305,MATEMATICAS FINANCIERAS I
ACT-22306,MATEMATICAS FINANCIERAS II
ACT-22309,"MATEMATICAS FINANCIERAS, III"
ACT-25354,ADMON. CUANTITATIVA DE RIESGOS
ADM-11002,INNOV Y DISEÑO DE MODEL DE NEG
ADM-11007,SEMIN. DE INVESTI. ADMVA. I
ADM-11008,SEMINARIO DE CASOS
ADM-11013,ADMON. INTERNACIONAL
ADM-11017,METODOS DE PRONOSTICO
ADM-11018,SEMINARIO DE DIRECCION
ADM-11101,PRONOSTICOS DE NEGOCIOS
ADM-12013,DISEÑO Y CAMBIO ORGANIZACIONAL
ADM-12022,ESTRATEGIA GLOBAL
ADM-12103,ESTRATEGIA EMPRESARIAL
ADM-12107,ESTRATEGIA DE NEGOCIOS I
ADM-12108,ESTRATEGIA DE NEGOCIOS II
ADM-12251,PLANEAC. Y EJECUCION DE ESTRAT
ADM-13101,DESARROLLO EMPRESARIAL
ADM-13106,FINANZAS EMPRENDEDORAS
ADM-13115,ADMON. DE EMPRESAS FAMILIARES
ADM-14401,"COMPORTAMIENTO HUMANO, I"
ADM-14402,"COMPORTAMIENTO HUMANO, II"
ADM-14405,"ESTRUC.,PROC. Y COMPORT.ORG I"
ADM-14413,DESAR. DE HABILID. GERENCIALES
ADM-15501,"FINANZAS, I"
ADM-15502,"FINANZAS, II"
ADM-15503,"FINANZAS.,III"
ADM-15507,FUNDAMENTOS DE FINANZAS
ADM-15510,INVERSIONES
ADM-15514,ADMON. DE PORTAF. DE INVERSION
ADM-15517,METODOS EMPIRICOS EN FINANZAS
ADM-15522,TEORIA DE LAS FINANZAS
ADM-15528,INSTRUMENTOS FINANCIEROS
ADM-15531,MERCADOS E INSTITUCS. FINANCS.
ADM-15532,FINANZAS CORPORATIVAS
ADM-15533,MODELOS FINANCIEROS I
ADM-15534,MODELOS FINANCIEROS II
ADM-15535,DERIVADOS
ADM-15571,RENTA FIJA
ADM-15582,FINZS. CORPORA. AVANZADAS
ADM-15585,CAPITAL PRIVADO
ADM-15593,INGENIERIA FINANCIERA
ADM-15630,FINANCIAMIENTO DE PROYECTOS
ADM-16601,"MERCADOTECNIA, I"
ADM-16602,"MERCADOTECNIA, II"
ADM-16603,"MERCADOTECNIA.,III"
ADM-16610,INVESTIGACION DE MERCADOS
ADM-16644,MODELOS DE MERCADOTECNIA
ADM-16699,ADM. DE LA RELAC. CON CLIENTES
ADM-16700,MERCADOTECNIA DIGITAL
ADM-16707,MERCADOTECNIA ANALITICA
ADM-18702,ADMON. ESTRATEG. DE MARCA
CLE-10131,SEMINARIO DE ENSAYO (6)
CLE-10132,SEMINARIO DE ENSAYO (12)
CLE-10201,INGLES INTENSIVO
CLE-10202,INGLES AVANZADO
CLE-10311,"FRANCES, I"
CLE-10516,COMMUNICATION IN SPANISH I
CLE-10517,COMMUNICATION IN SPANISH II
CLE-10518,COMMUNICATION IN SPANISH III
CLE-10601,TALLER DE TECNICAS DE ESTUDIO
CLE-10603,ESTUDIA CON EXITO EN EL ITAM
COM-11101,ALGORITMOS Y PROGRAMAS
COM-11102,ESTRUCTURAS DE DATOS
COM-11103,ESTRUCTURAS DE DATOS AVANZADAS
COM-11107,ORG. Y PROGRAM.DE COMPUTADORAS
COM-11302,ALGORITMICA Y PROGRAMACION
COM-11304,PROGRAMACION AVANZADA
COM-12101,BASES DE DATOS
COM-14105,ALGORITMOS NUM. POR COMPU.
COM-14106,GRAFICAS POR COMPUTADORA
COM-15111,TEO. DEL CEREBRO Y NEUROINFORM
COM-16203,DES. DE APLICACS. INFORMATICAS
COM-16301,HERRAMIENTAS COMPU. Y ALGORIT.
COM-16302,MET. COMPU. PARA ECO. Y FINANZ
COM-16303,MODELADO COMPUT. PARA NEGOCIOS
COM-16401,"COMPUTACION I, INTENSIVA"
COM-16402,"COMPUTACION, II"
COM-16410,PROCESOS DE NEGOCIO
COM-16412,HERR. COMP. Y PROD. EMPRESAR.
COM-16413,INTELIGENCIA DE NEGOCIOS
COM-16414,APLIC. TI EN LOS NEGOCIOS
COM-22102,BASES DE DATOS NO RELACIONALES
COM-22104,INGENIERIA DE SOFTWARE
COM-23101,INTELIGENCIA ARTIFICIAL
COM-23106,MINERIA DE DATOS
COM-23113,ALGORITM. Y SIST. BIOINSPIRADO
COM-23701,APRENDIZAJE DE MAQUINA
CON-10001,PROCESO CONTABLE
CON-10002,"CONTABILIDAD INTERMEDIA, I"
CON-10003,"CONTABILIDAD INTERMEDIA, II"
CON-10004,COMBINACION DE NEGOCIOS
CON-10005,ANAL. FINANCIERO DE LA EMPRESA
CON-10011,CONT.Y VALUAC. DE INSTR. FINAN
CON-10100,"CONTABILIDAD, I"
CON-10106,CONTABILIDAD INTERNACIONAL
CON-11001,AUDITORIA DE ESTADOS FINANCS.
CON-11013,CONTRALORIA
CON-12001,CONTABILIDAD DE COSTOS
CON-12002,COSTOS PARA TOMA DE DECISIONES
CON-12003,ADMON. ESTRATEGICA DE COSTOS
CON-12110,CONTABILIDAD DE COSTOS P/ING.
CON-14100,"CONTABILIDAD ADMINISTRATIVA, I"
CON-14101,"CONTABILIDAD ADMINISTRATIVA,II"
CON-14109,CONTABILIDAD GERENCIAL
CON-15001,"IMPUESTOS CORPORATIVOS, I"
